employee_id,first_name,last_name,department,level,location,gender,hire_date,tenure_years,annual_base_salary,currency,performance_rating,comp_satisfaction_score,commission_eligible,sales_target_attainment_pct,sales_commission_base,retention_bonus_flag,spot_bonus_event,role_median_salary,pct_vs_role_median,market_benchmark_salary,pct_vs_market,attrition_risk_score,left_company,performance_bonus,sales_commission,retention_bonus,spot_bonus,total_bonus
EMP1010,Jessica,Herrera,Operations,Manager,Remote - Canada,Female,2020-12-27,5.7,130700.0,USD,3.0,5.3,False,,,False,False,141400.0,-7.6,141000.0,-7.3,51.8,0,3921.0,0.0,0.0,0.0,3921.0
EMP1011,Nicholas,Arnold,Sales,Mid,Abuja,Female,2026-04-24,0.4,45400.0,USD,3.5,6.7,True,147.2,15890.0,False,False,48100.0,-5.6,47800.0,-5.0,25.8,0,908.0,2714.01,0.0,0.0,3622.01
EMP1012,Christine,Hensley,Product,Junior,Abuja,Female,2025-10-15,0.9,37100.0,USD,3.5,10.0,False,,,False,False,59200.0,-37.3,56400.0,-34.2,54.5,1,1669.5,0.0,0.0,0.0,1669.5
EMP1013,Janet,Williams,Marketing,Junior,Lagos,Male,2015-12-15,10.7,35500.0,USD,4.0,7.9,False,,,False,False,40900.0,-13.2,39400.0,-9.9,25.9,0,2840.0,0.0,0.0,0.0,2840.0
EMP1014,Keith,Miller,Engineering,Senior,Remote - UK,Male,2026-04-16,0.3,217700.0,USD,2.5,5.5,False,,,False,False,170700.0,27.5,167300.0,30.1,35.0,0,653.1,0.0,0.0,0.0,653.1
EMP1015,Craig,Ramirez,Finance,Junior,Abuja,Female,2023-11-22,2.7,33600.0,USD,4.5,4.6,False,,,False,False,46500.0,-27.7,49500.0,-32.1,82.6,1,3360.0,0.0,0.0,0.0,3360.0
EMP1016,Michael,Wood,Engineering,Senior,Remote - Canada,Male,2024-08-28,2.0,119000.0,USD,3.0,7.0,False,,,False,False,140850.0,-15.5,141900.0,-16.1,55.1,0,3570.0,0.0,0.0,0.0,3570.0
EMP1017,Joseph,Zuniga,Finance,Manager,Remote - US,Male,2023-11-21,2.7,135800.0,USD,4.0,7.0,False,,,True,False,173750.0,-21.8,176800.0,-23.2,52.4,0,10864.0,0.0,10864.0,0.0,21728.0
EMP1018,Chelsea,Jackson,Operations,Senior,Remote - UK,Female,2023-06-17,3.2,75400.0,USD,4.0,4.5,False,,,False,False,87000.0,-13.3,96200.0,-21.6,67.2,0,6032.0,0.0,0.0,0.0,6032.0
EMP1019,Frank,Gray,Operations,Senior,Lagos,Female,2025-10-09,0.9,46600.0,USD,3.5,6.5,False,,,False,False,53550.0,-13.0,59300.0,-21.4,57.6,0,2097.0,0.0,0.0,0.0,2097.0
EMP1020,Danielle,Hawkins,Operations,Mid,Lagos,Male,2025-10-25,0.9,30900.0,USD,4.0,4.6,False,,,False,False,41600.0,-25.7,42100.0,-26.6,78.9,1,2224.8,0.0,0.0,0.0,2224.8
EMP1021,Megan,Parsons,Marketing,Mid,Lagos,Male,2025-03-02,1.5,76000.0,USD,3.5,5.0,False,,,False,False,48700.0,56.1,48300.0,57.3,31.0,0,3800.0,0.0,0.0,0.0,3800.0
EMP1022,Antonio,Stewart,Sales,Mid,Remote - US,Male,2024-05-22,2.2,73100.0,USD,2.5,6.6,True,71.4,25585.0,False,False,114950.0,-36.4,112400.0,-35.0,81.6,1,731.0,1826.77,0.0,0.0,2557.77
EMP1023,Jason,Hahn,Finance,Senior,Abuja,Female,2022-05-26,4.2,90600.0,USD,5.0,7.0,False,,,False,False,58000.0,56.2,62200.0,45.7,24.7,0,10872.0,0.0,0.0,0.0,10872.0
EMP1024,Leonard,Rios,Marketing,Mid,Abuja,Female,2024-05-25,2.3,33500.0,USD,5.0,2.6,False,,,False,False,52500.0,-36.2,53400.0,-37.3,100.0,1,4020.0,0.0,0.0,0.0,4020.0
EMP1025,Robin,Ellis,Sales,Junior,Remote - Canada,Female,2026-03-20,0.4,69000.0,USD,4.0,4.7,True,105.4,24150.0,False,False,67400.0,2.4,67900.0,1.6,31.7,0,2208.0,2610.62,0.0,0.0,4818.62
EMP1026,John,Hoffman,Operations,Senior,Remote - UK,Male,2024-09-11,1.9,87000.0,USD,3.0,8.0,False,,,False,True,87000.0,0.0,85400.0,1.9,15.6,0,2610.0,0.0,0.0,500.0,3110.0
EMP1027,Brenda,Hurst,Sales,Director,Remote - Canada,Male,2025-03-13,1.4,154700.0,USD,3.0,5.3,True,144.1,54145.0,False,False,154700.0,0.0,152200.0,1.6,35.0,0,4641.0,8996.19,0.0,0.0,13637.19
EMP1028,Jeffrey,Bright,Product,Senior,Port Harcourt,Male,2025-02-12,1.5,73300.0,USD,3.5,8.8,False,,,True,True,73300.0,0.0,76900.0,-4.7,9.3,0,3665.0,0.0,5864.0,500.0,10029.0
EMP1029,Christopher,Williams,Sales,Junior,Remote - Canada,Male,2024-12-08,1.7,49000.0,USD,3.0,1.0,True,74.4,17150.0,False,False,67400.0,-27.3,64100.0,-23.6,100.0,1,1470.0,1275.96,0.0,0.0,2745.96
EMP1030,Courtney,Conner,Engineering,Senior,Remote - UK,Female,2025-04-09,1.3,181500.0,USD,3.5,4.2,False,,,False,False,170700.0,6.3,186000.0,-2.4,42.1,0,9075.0,0.0,0.0,0.0,9075.0
EMP1031,Bryan,James,Sales,Senior,Remote - US,Male,2025-04-28,1.3,148500.0,USD,3.5,10.0,True,51.2,51975.0,False,False,123750.0,20.0,123500.0,20.2,5.8,0,7425.0,2661.12,0.0,0.0,10086.12
EMP1032,Allison,Maddox,Product,Manager,Lagos,Female,2026-04-25,0.4,82300.0,USD,3.0,5.6,False,,,False,True,106450.0,-22.7,108700.0,-24.3,63.9,0,987.6,0.0,0.0,500.0,1487.6
EMP1033,Alexander,Le,HR & People,Mid,Lagos,Male,2024-02-04,2.6,69800.0,USD,3.0,8.0,False,,,False,False,64400.0,8.4,61200.0,14.1,7.6,0,2094.0,0.0,0.0,0.0,2094.0
EMP1034,Amanda,Adams,HR & People,Lead,Remote - US,Female,2025-05-13,1.3,173500.0,USD,4.0,5.6,False,,,False,False,173500.0,0.0,178600.0,-2.9,29.4,0,13880.0,0.0,0.0,0.0,13880.0
EMP1035,Daniel,Graham,HR & People,Senior,Lagos,Male,2024-10-04,1.9,83900.0,USD,4.0,5.9,False,,,False,True,62800.0,33.6,63400.0,32.3,27.6,0,6712.0,0.0,0.0,500.0,7212.0
EMP1036,Stephanie,Liu,Marketing,Junior,Lagos,Male,2019-01-12,7.6,47100.0,USD,3.0,10.0,False,,,False,False,40900.0,15.2,42000.0,12.1,7.0,0,1413.0,0.0,0.0,0.0,1413.0
EMP1037,Vincent,White,Finance,Senior,Remote - Canada,Male,2026-04-18,0.3,119600.0,USD,3.5,5.3,False,,,False,False,118600.0,0.8,132600.0,-9.8,48.4,0,1794.0,0.0,0.0,0.0,1794.0
EMP1038,Monica,Evans,Engineering,Junior,Lagos,Male,2024-03-15,2.5,41100.0,USD,3.5,5.6,False,,,False,False,65600.0,-37.3,68300.0,-39.8,86.5,1,2055.0,0.0,0.0,0.0,2055.0
EMP1039,Chelsea,Hernandez,Finance,Junior,Lagos,Non-binary,2025-05-11,1.3,42600.0,USD,3.5,7.1,False,,,False,False,46200.0,-7.8,45400.0,-6.2,28.1,0,2130.0,0.0,0.0,0.0,2130.0
EMP1040,Amber,Osborne,Sales,Mid,Lagos,Female,2026-06-23,0.2,39900.0,USD,3.5,4.5,True,113.0,13965.0,False,False,54750.0,-27.1,54100.0,-26.2,78.4,1,399.0,1668.82,0.0,0.0,2067.82
EMP1041,Aaron,Nguyen,Engineering,Manager,Lagos,Male,2026-07-16,0.1,205000.0,USD,4.5,6.9,False,,,False,False,127050.0,61.4,135400.0,51.4,31.8,0,2050.0,0.0,0.0,0.0,2050.0
EMP1042,Sarah,Koch,Product,Mid,Remote - UK,Male,2024-12-15,1.6,145700.0,USD,3.5,8.1,False,,,False,False,139900.0,4.1,155000.0,-6.0,27.6,0,7285.0,0.0,0.0,0.0,7285.0
EMP1043,Kyle,Brown,Product,Manager,Abuja,Male,2025-10-15,0.9,102000.0,USD,3.5,2.7,False,,,False,True,102000.0,0.0,106800.0,-4.5,59.6,0,4590.0,0.0,0.0,500.0,5090.0
EMP1044,Stacey,Miller,Product,Director,Remote - UK,Male,2025-09-11,1.0,384300.0,USD,3.0,4.9,False,,,False,False,179600.0,114.0,192400.0,99.7,38.4,0,11529.0,0.0,0.0,0.0,11529.0
EMP1045,Chad,Hodges,Product,Senior,Port Harcourt,Female,2019-11-02,6.8,115500.0,USD,4.0,5.2,False,,,False,False,73300.0,57.6,78200.0,47.7,19.8,0,9240.0,0.0,0.0,0.0,9240.0
EMP1046,David,Alvarez,Operations,Mid,Remote - US,Male,2021-12-24,4.7,89100.0,USD,2.5,5.4,False,,,True,False,94950.0,-6.2,105900.0,-15.9,48.1,0,891.0,0.0,7128.0,0.0,8019.0
EMP1047,Joseph,Brennan,HR & People,Director,Remote - US,Male,2022-11-04,3.8,311800.0,USD,3.0,7.6,False,,,False,False,311800.0,0.0,284700.0,9.5,20.1,0,9354.0,0.0,0.0,0.0,9354.0
EMP1048,Jason,Ryan,Product,Senior,Lagos,Male,2024-02-15,2.5,87800.0,USD,3.5,5.2,False,,,False,False,103500.0,-15.2,110700.0,-20.7,60.0,1,4390.0,0.0,0.0,0.0,4390.0
EMP1049,James,Collins,Customer Support,Lead,Port Harcourt,Male,2021-05-17,5.3,51700.0,USD,4.0,9.0,False,,,False,False,51700.0,0.0,56300.0,-8.2,20.1,0,4136.0,0.0,0.0,0.0,4136.0
EMP1050,Debra,Kim,Sales,Junior,Abuja,Male,2025-06-01,1.3,42900.0,USD,3.0,7.8,True,137.6,15015.0,False,False,49000.0,-12.4,46500.0,-7.7,39.6,0,1287.0,2348.35,0.0,0.0,3635.35
EMP1051,David,Walker,Marketing,Manager,Lagos,Male,2024-11-02,1.8,79300.0,USD,3.5,7.2,False,,,False,False,79900.0,-0.8,78100.0,1.5,24.5,0,3965.0,0.0,0.0,0.0,3965.0
EMP1052,Brianna,Hall,Operations,Junior,Lagos,Female,2026-03-17,0.4,27400.0,USD,3.5,4.3,False,,,False,False,39700.0,-31.0,38900.0,-29.6,88.6,1,548.0,0.0,0.0,0.0,548.0
EMP1053,Chad,Welch,Marketing,Mid,Remote - UK,Female,2025-12-27,0.6,55400.0,USD,3.0,5.8,False,,,False,False,73600.0,-24.7,72600.0,-23.7,65.5,1,997.2,0.0,0.0,0.0,997.2
EMP1054,Rebecca,Heath,Customer Support,Senior,Lagos,Male,2023-12-28,2.6,36600.0,USD,2.5,6.3,False,,,False,False,36600.0,0.0,36600.0,0.0,22.5,0,366.0,0.0,0.0,0.0,366.0
EMP1055,John,Caldwell,Sales,Junior,Abuja,Male,2024-01-25,2.5,40400.0,USD,3.0,9.5,True,93.8,14140.0,False,False,49000.0,-17.6,51200.0,-21.1,35.9,0,1212.0,1326.33,0.0,0.0,2538.33
EMP1056,David,Walls,Finance,Manager,Abuja,Male,2026-03-09,0.4,102200.0,USD,2.5,6.9,False,,,False,False,102200.0,0.0,110600.0,-7.6,32.8,0,408.8,0.0,0.0,0.0,408.8
EMP1057,Thomas,Mueller,Sales,Mid,Lagos,Female,2026-03-31,0.4,75300.0,USD,4.0,6.0,True,137.0,26355.0,False,False,54750.0,37.5,59900.0,25.7,37.2,0,2409.6,4098.2,0.0,0.0,6507.8
EMP1058,James,Davis,Operations,Senior,Abuja,Female,2025-10-14,0.9,51600.0,USD,4.5,3.5,False,,,False,False,52800.0,-2.3,51700.0,-0.2,47.2,0,4644.0,0.0,0.0,0.0,4644.0
EMP1059,Rodney,Owens,Engineering,Junior,Lagos,Female,2026-01-08,0.6,85800.0,USD,3.5,4.5,False,,,False,False,65600.0,30.8,64200.0,33.6,41.2,0,2574.0,0.0,0.0,0.0,2574.0
EMP1060,Emily,Joyce,Sales,Mid,Remote - US,Male,2022-05-17,4.3,86800.0,USD,4.0,4.7,True,102.5,30380.0,False,False,114950.0,-24.5,127500.0,-31.9,83.9,1,6944.0,3151.93,0.0,0.0,10095.93
EMP1061,Richard,Morgan,HR & People,Junior,Lagos,Female,2024-09-01,1.9,33200.0,USD,3.5,4.4,False,,,False,False,45700.0,-27.4,48800.0,-32.0,69.4,1,1660.0,0.0,0.0,0.0,1660.0
EMP1062,John,Lee,Sales,Mid,Port Harcourt,Female,2025-08-05,1.1,37400.0,USD,3.0,7.5,True,71.8,13090.0,False,False,42400.0,-11.8,43900.0,-14.8,45.1,0,1122.0,939.86,0.0,0.0,2061.86
EMP1063,Robert,Ramirez,Customer Support,Mid,Abuja,Male,2022-02-16,4.5,50100.0,USD,3.5,5.4,False,,,False,False,36000.0,39.2,38100.0,31.5,21.2,0,2505.0,0.0,0.0,0.0,2505.0
EMP1064,Sandra,Ramos,Sales,Senior,Port Harcourt,Male,2026-02-03,0.5,82800.0,USD,3.0,5.7,True,109.9,28980.0,False,False,71000.0,16.6,73000.0,13.4,32.5,0,1242.0,3328.35,0.0,0.0,4570.35
EMP1065,Andrea,Williams,Engineering,Manager,Abuja,Male,2025-03-12,1.5,123000.0,USD,3.0,3.1,False,,,False,False,131800.0,-6.7,139900.0,-12.1,61.7,0,3690.0,0.0,0.0,0.0,3690.0
EMP1066,Mary,Novak,Engineering,Manager,Abuja,Male,2020-09-19,6.0,154600.0,USD,3.0,3.8,False,,,False,False,131800.0,17.3,133100.0,16.2,44.2,0,4638.0,0.0,0.0,0.0,4638.0
EMP1067,Melinda,Martin,Operations,Mid,Remote - US,Male,2026-03-16,0.5,77800.0,USD,4.0,8.0,False,,,False,False,94950.0,-18.1,99300.0,-21.7,47.5,0,3112.0,0.0,0.0,0.0,3112.0
EMP1068,Jason,Morales,HR & People,Manager,Abuja,Male,2026-03-26,0.4,116900.0,USD,3.0,6.0,False,,,False,False,116900.0,0.0,109800.0,6.5,39.0,0,1402.8,0.0,0.0,0.0,1402.8
EMP1069,Nicholas,Galloway,Engineering,Senior,Remote - UK,Male,2023-06-19,3.1,172800.0,USD,2.5,5.1,False,,,False,False,170700.0,1.2,168800.0,2.4,30.3,0,1728.0,0.0,0.0,0.0,1728.0
EMP1070,Kristen,Gibson,Operations,Mid,Abuja,Male,2026-02-04,0.5,51100.0,USD,2.5,10.0,False,,,True,False,52500.0,-2.7,51900.0,-1.5,14.6,0,255.5,0.0,2044.0,0.0,2299.5
EMP1071,Susan,Cowan,Product,Senior,Remote - UK,Male,2023-06-04,3.2,117500.0,USD,3.5,9.9,False,,,False,False,130900.0,-10.2,131900.0,-10.9,18.3,0,5875.0,0.0,0.0,0.0,5875.0
EMP1072,Jennifer,Moore,Product,Manager,Abuja,Female,2016-01-19,10.6,171000.0,USD,3.5,8.0,False,,,False,False,102000.0,67.6,99400.0,72.0,3.7,0,8550.0,0.0,0.0,0.0,8550.0
EMP1073,Tanya,Riley,Sales,Mid,Remote - Canada,Female,2025-07-02,1.1,80400.0,USD,3.5,3.7,True,67.6,28140.0,False,False,92900.0,-13.5,92700.0,-13.3,55.3,0,4020.0,1902.26,0.0,0.0,5922.26
EMP1074,Julie,Brown,Engineering,Mid,Lagos,Female,2024-11-03,1.8,71400.0,USD,4.0,9.3,False,,,True,False,74300.0,-3.9,69800.0,2.3,5.1,0,5712.0,0.0,5712.0,0.0,11424.0
EMP1075,Wesley,Farrell,Sales,Director,Lagos,Female,2026-05-08,0.3,183900.0,USD,5.0,6.1,True,100.3,64365.0,False,False,128000.0,43.7,136100.0,35.1,34.1,0,6620.4,6465.46,0.0,0.0,13085.86
EMP1076,Susan,Miller,Engineering,Junior,Lagos,Male,2024-05-18,2.2,38900.0,USD,3.5,6.0,False,,,False,False,65600.0,-40.7,67200.0,-42.1,88.4,1,1945.0,0.0,0.0,0.0,1945.0
EMP1077,Brooke,Leonard,Engineering,Mid,Lagos,Female,2021-08-02,5.0,113000.0,USD,2.5,4.6,False,,,False,False,74300.0,52.1,68900.0,64.0,29.9,0,1130.0,0.0,0.0,0.0,1130.0
EMP1078,David,Zamora,Sales,Junior,Remote - UK,Male,2026-05-23,0.2,59800.0,USD,4.0,4.5,True,86.9,20930.0,False,False,68400.0,-12.6,67000.0,-10.7,51.3,0,956.8,1818.82,0.0,0.0,2775.62
EMP1079,Brooke,Harvey,Sales,Junior,Remote - UK,Male,2022-02-04,4.5,70400.0,USD,3.5,4.6,True,115.4,24640.0,False,False,68400.0,2.9,71800.0,-1.9,48.7,1,3520.0,3033.18,0.0,0.0,6553.18
EMP1080,Brandy,Mills,Sales,Junior,Lagos,Female,2026-01-08,0.6,48300.0,USD,3.5,5.1,True,126.2,16905.0,False,False,45500.0,6.2,45400.0,6.4,35.2,0,1449.0,2354.87,0.0,0.0,3803.87
EMP1081,James,Moran,Operations,Junior,Remote - UK,Female,2024-08-10,2.1,59400.0,USD,3.5,5.0,False,,,False,False,60050.0,-1.1,59300.0,0.2,30.9,0,2970.0,0.0,0.0,0.0,2970.0
EMP1082,Randy,Powers,Marketing,Lead,Abuja,Female,2025-09-10,0.9,79400.0,USD,2.5,7.3,False,,,False,False,87600.0,-9.4,89800.0,-11.6,43.0,0,714.6,0.0,0.0,0.0,714.6
EMP1083,Leslie,Walton,Product,Mid,Lagos,Female,2026-07-02,0.1,102500.0,USD,2.5,6.7,False,,,False,False,96600.0,6.1,101500.0,1.0,33.2,0,102.5,0.0,0.0,0.0,102.5
EMP1084,Stephen,Murillo,Engineering,Junior,Lagos,Male,2021-04-08,5.3,70800.0,USD,2.0,9.5,False,,,False,False,65600.0,7.9,61900.0,14.4,6.3,0,0.0,0.0,0.0,0.0,0.0
EMP1085,Charles,Lewis,Engineering,Mid,Abuja,Female,2026-02-11,0.6,93800.0,USD,3.5,4.6,False,,,False,False,72600.0,29.2,77200.0,21.5,40.5,0,2814.0,0.0,0.0,0.0,2814.0
EMP1086,Sarah,Ibarra,Engineering,Mid,Remote - UK,Female,2024-05-24,2.2,126500.0,USD,3.5,4.5,False,,,False,False,114350.0,10.6,112300.0,12.6,33.7,0,6325.0,0.0,0.0,0.0,6325.0
EMP1087,Mike,Moore,Operations,Junior,Abuja,Male,2025-08-06,1.1,46500.0,USD,4.0,6.4,False,,,False,False,35500.0,31.0,36500.0,27.4,28.8,0,3720.0,0.0,0.0,0.0,3720.0
EMP1088,Jade,Carr,Engineering,Lead,Remote - Canada,Male,2025-10-16,0.9,201900.0,USD,4.5,5.2,False,,,False,False,201900.0,0.0,207500.0,-2.7,36.7,0,18171.0,0.0,0.0,0.0,18171.0
EMP1089,Destiny,Smith,Product,Mid,Lagos,Male,2021-06-02,5.3,95100.0,USD,3.0,7.5,False,,,False,False,96600.0,-1.6,96400.0,-1.3,22.7,0,2853.0,0.0,0.0,0.0,2853.0
EMP1090,Kevin,Alvarado,Engineering,Mid,Lagos,Non-binary,2019-05-24,7.3,46100.0,USD,3.5,6.9,False,,,False,False,74300.0,-38.0,72000.0,-36.0,65.9,1,2305.0,0.0,0.0,0.0,2305.0
EMP1091,Dennis,Wilson,Marketing,Junior,Remote - UK,Female,2020-02-10,6.6,96000.0,USD,4.0,6.1,False,,,False,False,54400.0,76.5,55100.0,74.2,18.5,0,7680.0,0.0,0.0,0.0,7680.0
EMP1092,Angela,Nelson,Sales,Senior,Lagos,Female,2026-04-09,0.3,79600.0,USD,4.5,4.4,True,95.3,27860.0,False,False,74400.0,7.0,83900.0,-5.1,50.5,0,2388.0,2655.06,0.0,0.0,5043.06
EMP1093,Jennifer,Harris,Engineering,Senior,Remote - US,Male,2025-11-07,0.8,104600.0,USD,3.0,6.6,False,,,False,False,128150.0,-18.4,121500.0,-13.9,45.7,0,2510.4,0.0,0.0,0.0,2510.4
EMP1094,Joseph,Freeman,Product,Mid,Remote - Canada,Female,2024-12-16,1.7,133600.0,USD,3.0,8.6,False,,,False,False,152250.0,-12.2,172300.0,-22.5,46.6,0,4008.0,0.0,0.0,0.0,4008.0
EMP1095,Meghan,Davis,Engineering,Junior,Abuja,Female,2025-09-13,1.0,45400.0,USD,3.5,8.8,False,,,False,False,57900.0,-21.6,58700.0,-22.7,41.6,0,2270.0,0.0,0.0,0.0,2270.0
EMP1096,Joshua,Smith,HR & People,Junior,Abuja,Male,2019-04-30,7.3,40600.0,USD,2.5,4.5,False,,,False,False,46100.0,-11.9,47600.0,-14.7,63.5,0,406.0,0.0,0.0,0.0,406.0
EMP1097,Dana,Green,Product,Senior,Port Harcourt,Male,2025-11-17,0.8,68000.0,USD,3.5,5.4,False,,,False,False,73300.0,-7.2,70700.0,-3.8,34.1,0,2720.0,0.0,0.0,0.0,2720.0
EMP1098,Andrea,Patterson,Sales,Director,Remote - US,Male,2013-05-20,13.3,184700.0,USD,3.0,9.1,True,85.7,64645.0,False,False,198500.0,-7.0,195300.0,-5.4,15.1,0,5541.0,5540.08,0.0,0.0,11081.08
EMP1099,Charles,Ware,HR & People,Junior,Lagos,Male,2024-04-03,2.3,45700.0,USD,3.0,5.8,False,,,False,False,45700.0,0.0,45700.0,0.0,34.0,0,1371.0,0.0,0.0,0.0,1371.0
EMP1100,Amy,Davenport,Marketing,Lead,Remote - UK,Male,2026-05-27,0.3,126100.0,USD,2.5,5.2,False,,,False,False,141500.0,-10.9,136900.0,-7.9,55.4,0,378.3,0.0,0.0,0.0,378.3
EMP1101,Earl,Anderson,Sales,Junior,Remote - UK,Female,2021-10-01,4.9,76900.0,USD,3.0,5.1,True,126.1,26915.0,False,False,68400.0,12.4,69600.0,10.5,29.3,0,2307.0,3745.22,0.0,0.0,6052.22
EMP1102,Rachel,Flynn,Engineering,Manager,Remote - Canada,Male,2021-09-15,4.9,296800.0,USD,4.0,7.4,False,,,False,False,214150.0,38.6,215300.0,37.9,27.4,0,23744.0,0.0,0.0,0.0,23744.0
EMP1103,Rachel,Clark,Operations,Senior,Lagos,Male,2021-06-30,5.2,38600.0,USD,3.5,6.8,False,,,False,False,53550.0,-27.9,61100.0,-36.8,74.1,1,1930.0,0.0,0.0,0.0,1930.0
EMP1104,Curtis,Deleon,Sales,Lead,Remote - Canada,Male,2026-06-29,0.1,110700.0,USD,3.5,6.6,True,66.0,38745.0,False,False,110700.0,0.0,106300.0,4.1,20.0,0,553.5,2557.17,0.0,0.0,3110.67
EMP1105,Richard,Oliver,HR & People,Junior,Remote - Canada,Male,2018-05-28,8.3,58300.0,USD,4.0,7.6,False,,,False,False,51700.0,12.8,53600.0,8.8,16.6,0,4664.0,0.0,0.0,0.0,4664.0
EMP1106,Sarah,Hancock,Finance,Junior,Lagos,Male,2026-04-12,0.3,53300.0,USD,3.5,8.7,False,,,False,False,46200.0,15.4,48300.0,10.4,11.1,0,799.5,0.0,0.0,0.0,799.5
EMP1107,Lisa,Keith,Product,Director,Remote - UK,Female,2023-02-11,3.6,173800.0,USD,4.5,5.9,False,,,False,False,179600.0,-3.2,173500.0,0.2,27.2,0,17380.0,0.0,0.0,0.0,17380.0
EMP1108,Jill,Cook,Engineering,Director,Abuja,Female,2026-01-21,0.5,217400.0,USD,4.0,6.4,False,,,False,False,217400.0,0.0,232900.0,-6.7,34.5,0,8696.0,0.0,0.0,0.0,8696.0
EMP1109,Leah,Shields,Product,Junior,Abuja,Male,2025-03-16,1.5,69100.0,USD,3.0,3.8,False,,,False,False,59200.0,16.7,59600.0,15.9,42.9,0,2073.0,0.0,0.0,0.0,2073.0
EMP1110,Joseph,Cobb,Marketing,Junior,Lagos,Female,2023-12-27,2.7,37600.0,USD,3.5,8.0,False,,,False,False,40900.0,-8.1,36000.0,4.4,8.5,0,1880.0,0.0,0.0,0.0,1880.0
EMP1111,Monica,Garrison,Marketing,Lead,Remote - Canada,Male,2022-11-15,3.7,140300.0,USD,3.5,7.8,False,,,False,False,126300.0,11.1,135100.0,3.8,20.6,0,7015.0,0.0,0.0,0.0,7015.0
EMP1112,Lisa,Stevens,Sales,Junior,Remote - UK,Female,2025-11-21,0.7,73000.0,USD,3.0,7.5,True,83.7,25550.0,False,False,68400.0,6.7,65900.0,10.8,14.5,0,1533.0,2138.54,0.0,0.0,3671.54
EMP1113,Laura,Perez,Sales,Junior,Abuja,Male,2024-03-15,2.4,37600.0,USD,4.0,7.3,True,75.8,13160.0,False,False,49000.0,-23.3,47400.0,-20.7,39.4,0,3008.0,997.53,0.0,0.0,4005.53
EMP1114,James,Murphy,Sales,Mid,Port Harcourt,Male,2024-05-10,2.2,33000.0,USD,3.5,6.9,True,49.0,11550.0,False,False,42400.0,-22.2,45400.0,-27.3,61.7,1,1650.0,565.95,0.0,0.0,2215.95
EMP1115,Tammy,Ramirez,Sales,Junior,Abuja,Female,2024-06-29,2.2,49000.0,USD,4.0,8.5,True,123.1,17150.0,False,False,49000.0,0.0,49400.0,-0.8,20.9,0,3920.0,2309.25,0.0,0.0,6229.25
EMP1116,Ricardo,Zavala,Sales,Mid,Remote - UK,Male,2023-06-17,3.2,118900.0,USD,4.0,5.5,True,132.9,41615.0,False,False,83700.0,42.1,90800.0,30.9,24.9,0,9512.0,6215.2,0.0,0.0,15727.2
